priority,track,week,concept,concept_key,search_url,status,video_id,duration_min,creator,why
31,cybersecurity,18,SLSA,slsa,https://www.youtube.com/results?search_query=SLSA+tutorial+explained,,https://www.youtube.com/watch?v=Vmaq88od9uo,29,"HashiCorp, an IBM Company",
34,cybersecurity,21,Acquisition,acquisition,https://www.youtube.com/results?search_query=Acquisition+tutorial+explained,,https://www.youtube.com/watch?v=MlGuR5NIDio,11,Professor Messer,
34,cybersecurity,21,File system forensics,file-system-forensics,https://www.youtube.com/results?search_query=File+system+forensics+tutorial+explained,,https://www.youtube.com/watch?v=S73Z7H0S1xQ,19,The Cyber Mentor,
37,ai-automation,1,How AI fits into automation,how-ai-fits-into-automation,https://www.youtube.com/results?search_query=How+AI+fits+into+automation+tutorial+explained,,https://www.youtube.com/watch?v=-mldKsBR0UM,18,IBM Technology,
41,ai-automation,5,System vs user prompts,system-vs-user-prompts,https://www.youtube.com/results?search_query=System+vs+user+prompts+tutorial+explained,,https://www.youtube.com/watch?v=vD0E3EUb8-8,8,IBM Technology,
46,ai-automation,12,Implement the tools,implement-the-tools,https://www.youtube.com/results?search_query=Implement+the+tools+tutorial+explained,,https://www.youtube.com/watch?v=44eFf-tRiSg,6,OpenAI,
50,ai-automation,17,Error alerts — notify yourself when things break,error-alerts-notify-yourself-when-things-break,https://www.youtube.com/results?search_query=Error+alerts+%E2%80%94+notify+yourself+when+things+break+tutorial+explained,,https://www.youtube.com/watch?v=GANi9eRxhHs,4,Google Cloud Tech,
56,data-engineering,4,ELT: the modern shift,elt-the-modern-shift,https://www.youtube.com/results?search_query=ELT%3A+the+modern+shift+tutorial+explained,,https://www.youtube.com/watch?v=KIv2Na2-u24,7,IBM Technology,
57,data-engineering,5,Partitioning files in the lake,partitioning-files-in-the-lake,https://www.youtube.com/results?search_query=Partitioning+files+in+the+lake+tutorial+explained,,https://www.youtube.com/watch?v=3ef985a0Veg,7,Guy in a Cube,
61,data-engineering,12,Write the extractor,write-the-extractor,https://www.youtube.com/results?search_query=Write+the+extractor+tutorial+explained,,https://www.youtube.com/watch?v=_0v1UK7smBc,27,Krish Naik,
63,data-engineering,14,External tables vs loading,external-tables-vs-loading,https://www.youtube.com/results?search_query=External+tables+vs+loading+tutorial+explained,,https://www.youtube.com/watch?v=-bSkREem8dM,6,Alex The Analyst,
66,data-engineering,17,Author the orchestration code,author-the-orchestration-code,https://www.youtube.com/results?search_query=Author+the+orchestration+code+tutorial+explained,,https://www.youtube.com/watch?v=OFq_CvRCpA0,20,IBM Technology,
68,data-engineering,19,Inventory the risks,inventory-the-risks,https://www.youtube.com/results?search_query=Inventory+the+risks+tutorial+explained,,https://www.youtube.com/watch?v=5HcDJ8e9NwY,4,IBM Technology,
68,data-engineering,19,Add source-freshness checks,add-source-freshness-checks,https://www.youtube.com/results?search_query=Add+source-freshness+checks+tutorial+explained,,https://www.youtube.com/watch?v=5HcDJ8e9NwY,4,IBM Technology,
71,data-engineering,23,CI for transformations,ci-for-transformations,https://www.youtube.com/results?search_query=CI+for+transformations+tutorial+explained,,https://www.youtube.com/watch?v=zWw2wuiKd5o,9,IBM Technology,
82,mobile-engineering,10,Maps,maps,https://www.youtube.com/results?search_query=Maps+tutorial+explained,,https://www.youtube.com/watch?v=nsrgYhaYNVY,13,Microsoft Developer,
85,mobile-engineering,14,Auth flows on mobile,auth-flows-on-mobile,https://www.youtube.com/results?search_query=Auth+flows+on+mobile+tutorial+explained,,https://www.youtube.com/watch?v=UBUNrFtufWo,3,Fireship,
85,mobile-engineering,14,Refresh tokens,refresh-tokens,https://www.youtube.com/results?search_query=Refresh+tokens+tutorial+explained,,https://www.youtube.com/watch?v=41vmzPdbfXM,3,Microsoft Azure,
87,mobile-engineering,16,Analytics platforms,analytics-platforms,https://www.youtube.com/results?search_query=Analytics+platforms+tutorial+explained,,https://www.youtube.com/watch?v=CAQ_a2-9UOI,10,IBM Technology,
104,full-stack-web,12,Sessions vs JWTs,sessions-vs-jwts,https://www.youtube.com/results?search_query=Sessions+vs+JWTs+tutorial+explained,,https://www.youtube.com/watch?v=UBUNrFtufWo,3,Fireship,
108,full-stack-web,16,WebSocket basics,websocket-basics,https://www.youtube.com/results?search_query=WebSocket+basics+tutorial+explained,,https://www.youtube.com/watch?v=1BfCnjr_Vjg,9,Fireship,
109,full-stack-web,17,Testing Library,testing-library,https://www.youtube.com/results?search_query=Testing+Library+tutorial+explained,,https://www.youtube.com/watch?v=u6QfIXgjwGQ,3,Fireship,
110,full-stack-web,18,Image optimisation,image-optimisation,https://www.youtube.com/results?search_query=Image+optimisation+tutorial+explained,,https://www.youtube.com/watch?v=0fONene3OIA,7,Beyond Fireship,
111,full-stack-web,19,Preview deploys,preview-deploys,https://www.youtube.com/results?search_query=Preview+deploys+tutorial+explained,,https://www.youtube.com/watch?v=s_4UL9oAcVE,3,Netlify,
112,full-stack-web,20,Logs vs metrics vs traces,logs-vs-metrics-vs-traces,https://www.youtube.com/results?search_query=Logs+vs+metrics+vs+traces+tutorial+explained,,https://www.youtube.com/watch?v=CAQ_a2-9UOI,10,IBM Technology,
113,full-stack-web,21,Authorisation bugs,authorisation-bugs,https://www.youtube.com/results?search_query=Authorisation+bugs+tutorial+explained,,https://www.youtube.com/watch?v=8zSoyAmHHc4,6,IBM Technology,
117,devops-cloud,3,AWS IAM user for CI,aws-iam-user-for-ci,https://www.youtube.com/results?search_query=AWS+IAM+user+for+CI+tutorial+explained,,https://www.youtube.com/watch?v=OdNnS-0MX-c,1,KodeKloud,
119,devops-cloud,5,Install + first container,install-first-container,https://www.youtube.com/results?search_query=Install+%2B+first+container+tutorial+explained,,https://www.youtube.com/watch?v=gAkwW2tuIqE,12,Fireship,
121,devops-cloud,7,Distroless or minimal Alpine,distroless-or-minimal-alpine,https://www.youtube.com/results?search_query=Distroless+or+minimal+Alpine+tutorial+explained,,https://www.youtube.com/watch?v=b_euX_M82uI,7,IBM Technology,
122,devops-cloud,9,Deployments + ReplicaSets,deployments-replicasets,https://www.youtube.com/results?search_query=Deployments+%2B+ReplicaSets+tutorial+explained,,https://www.youtube.com/watch?v=pPQKAR1pA9U,16,TechWorld with Nana,
127,devops-cloud,14,Managed K8s comparison,managed-k8s-comparison,https://www.youtube.com/results?search_query=Managed+K8s+comparison+tutorial+explained,,https://www.youtube.com/watch?v=daVUONZqn88,6,Microsoft Azure,
129,devops-cloud,16,What counts as a secret,what-counts-as-a-secret,https://www.youtube.com/results?search_query=What+counts+as+a+secret+tutorial+explained,,https://www.youtube.com/watch?v=BqekRTA6VCs,10,IBM Technology,
130,devops-cloud,18,Flux,flux,https://www.youtube.com/results?search_query=Flux+tutorial+explained,,https://www.youtube.com/watch?v=GlG6Xr2HH1g,9,KodeKloud,
131,devops-cloud,19,Metrics vs logs vs traces,metrics-vs-logs-vs-traces,https://www.youtube.com/results?search_query=Metrics+vs+logs+vs+traces+tutorial+explained,,https://www.youtube.com/watch?v=1X3dV3D5EJg,6,Fireship,
132,devops-cloud,20,Burn-rate alerts,burn-rate-alerts,https://www.youtube.com/results?search_query=Burn-rate+alerts+tutorial+explained,,https://www.youtube.com/watch?v=-U9E1PhrM3o,6,IBM Technology,
134,devops-cloud,22,Database backups,database-backups,https://www.youtube.com/results?search_query=Database+backups+tutorial+explained,,https://www.youtube.com/watch?v=07EHsPuKXc0,10,IBM Technology,
138,bi-analytics,2,Build the Region Detail page,build-the-region-detail-page,https://www.youtube.com/results?search_query=Build+the+Region+Detail+page+tutorial+explained,,https://www.youtube.com/watch?v=OcZr_70OGPo,8,Guy in a Cube,
139,bi-analytics,3,Create roles,create-roles,https://www.youtube.com/results?search_query=Create+roles+tutorial+explained,,https://www.youtube.com/watch?v=MxU_FYSSnYU,6,Guy in a Cube,
140,bi-analytics,4,Why automatic refresh,why-automatic-refresh,https://www.youtube.com/results?search_query=Why+automatic+refresh+tutorial+explained,,https://www.youtube.com/watch?v=CYSMZxaXNLk,6,Guy in a Cube,
141,bi-analytics,5,Measures vs calculated columns,measures-vs-calculated-columns,https://www.youtube.com/results?search_query=Measures+vs+calculated+columns+tutorial+explained,,https://www.youtube.com/watch?v=_vwu0ELxjlQ,21,Miss Microsoft,
147,bi-analytics,11,KPI design principles,kpi-design-principles,https://www.youtube.com/results?search_query=KPI+design+principles+tutorial+explained,,https://www.youtube.com/watch?v=zIwCtA3iU1I,9,Krish Naik,
147,bi-analytics,11,The North Star metric framework and OKRs (Objectives and Key Results),the-north-star-metric-framework-and-okrs-objecti,https://www.youtube.com/results?search_query=The+North+Star+metric+framework+and+OKRs+%28Objectives+and+Key+Results%29+tutorial+explained,,https://www.youtube.com/watch?v=ItZlTixh6Bs,6,Alex The Analyst,
147,bi-analytics,11,Narrative structure for data presentations,narrative-structure-for-data-presentations,https://www.youtube.com/results?search_query=Narrative+structure+for+data+presentations+tutorial+explained,,https://www.youtube.com/watch?v=ItZlTixh6Bs,6,Alex The Analyst,
152,ml-engineering,3,Retrain with best params,retrain-with-best-params,https://www.youtube.com/results?search_query=Retrain+with+best+params+tutorial+explained,,https://www.youtube.com/watch?v=00Q0G84kq3M,9,IBM Technology,
156,ml-engineering,9,nn.Module,nn-module,https://www.youtube.com/results?search_query=nn.Module+tutorial+explained,,https://www.youtube.com/watch?v=ORMx45xqWkA,3,Fireship,
160,ml-engineering,15,Pipelines as DAGs,pipelines-as-dags,https://www.youtube.com/results?search_query=Pipelines+as+DAGs+tutorial+explained,,https://www.youtube.com/watch?v=6kEGUCrBEU0,9,IBM Technology,
163,ml-engineering,20,Cold-start,cold-start,https://www.youtube.com/results?search_query=Cold-start+tutorial+explained,,https://www.youtube.com/watch?v=F81pBEXLjC8,5,Microsoft in Business,
172,data-analysis,6,Confidence intervals,confidence-intervals,https://www.youtube.com/results?search_query=Confidence+intervals+tutorial+explained,,https://www.youtube.com/watch?v=TqOeMYtOc1w,7,StatQuest with Josh Starmer,
173,data-analysis,7,"AI accelerates, you stay accountable",ai-accelerates-you-stay-accountable,https://www.youtube.com/results?search_query=AI+accelerates%2C+you+stay+accountable+tutorial+explained,,https://www.youtube.com/watch?v=vGdyePbGNaE,2,Microsoft Cloud,
177,data-analysis,11,What tenure analysis is,what-tenure-analysis-is,https://www.youtube.com/results?search_query=What+tenure+analysis+is+tutorial+explained,,https://www.youtube.com/watch?v=fvgcx8QLqZU,29,"Learn Microsoft Fabric, Power BI, SQL Amit Chandak",
180,data-analysis,14,Why analysts scrape,why-analysts-scrape,https://www.youtube.com/results?search_query=Why+analysts+scrape+tutorial+explained,,https://www.youtube.com/watch?v=G5djZjdxVvo,21,Tech With Tim,
187,data-analysis,21,Set up BigQuery (free),set-up-bigquery-free,https://www.youtube.com/results?search_query=Set+up+BigQuery+%28free%29+tutorial+explained,,https://www.youtube.com/watch?v=BH_7_zVk5oM,18,Google Cloud Tech,
193,data-science,3,Concatenate multiple months of data,concatenate-multiple-months-of-data,https://www.youtube.com/results?search_query=Concatenate+multiple+months+of+data+tutorial+explained,,https://www.youtube.com/watch?v=yDzy28mdt5Q,2,Microsoft Office Lessons: Excel Word PowerPoint,
196,data-science,6,Confidence intervals,confidence-intervals,https://www.youtube.com/results?search_query=Confidence+intervals+tutorial+explained,,https://www.youtube.com/watch?v=TqOeMYtOc1w,7,StatQuest with Josh Starmer,
201,data-science,11,Why this matters NOW,why-this-matters-now,https://www.youtube.com/results?search_query=Why+this+matters+NOW+tutorial+explained,,https://www.youtube.com/watch?v=vGdyePbGNaE,2,Microsoft Cloud,
207,data-science,17,Faker for realistic fake records,faker-for-realistic-fake-records,https://www.youtube.com/results?search_query=Faker+for+realistic+fake+records+tutorial+explained,,https://www.youtube.com/watch?v=HIusawrGBN4,7,IBM Technology,
212,data-science,22,What ARIMA actually is,what-arima-actually-is,https://www.youtube.com/results?search_query=What+ARIMA+actually+is+tutorial+explained,,https://www.youtube.com/watch?v=2XGSIlgUBDI,25,Krish Naik,
214,data-science,24,Prepare windowed data,prepare-windowed-data,https://www.youtube.com/results?search_query=Prepare+windowed+data+tutorial+explained,,https://www.youtube.com/watch?v=ORMx45xqWkA,3,Fireship,
222,data-science,32,Pick a task + dataset,pick-a-task-dataset,https://www.youtube.com/results?search_query=Pick+a+task+%2B+dataset+tutorial+explained,,https://www.youtube.com/watch?v=Vg3dS-NLUT4,27,Krish Naik,
223,data-science,33,Pick corpus + chunk,pick-corpus-chunk,https://www.youtube.com/results?search_query=Pick+corpus+%2B+chunk+tutorial+explained,,https://www.youtube.com/watch?v=T-D1OfcDW1M,7,IBM Technology,
223,data-science,33,Embed + index,embed-index,https://www.youtube.com/results?search_query=Embed+%2B+index+tutorial+explained,,https://www.youtube.com/watch?v=LpKGm1jJXv4,3,IBM Technology,
228,data-science,40,RL intuition,rl-intuition,https://www.youtube.com/results?search_query=RL+intuition+tutorial+explained,,https://www.youtube.com/watch?v=qPN_XZcJf_s,19,StatQuest with Josh Starmer,
230,data-science,43,Why privacy,why-privacy,https://www.youtube.com/results?search_query=Why+privacy+tutorial+explained,,https://www.youtube.com/watch?v=x3rg8bttldg,10,IBM Technology,
