priority,track,week,concept,concept_key,search_url,status,video_id,duration_min,creator,why
43,ai-automation,9,Read emails with IMAP,read-emails-with-imap,https://www.youtube.com/results?search_query=Read+emails+with+IMAP+tutorial+explained,,,,,
43,ai-automation,9,AI email triage,ai-email-triage,https://www.youtube.com/results?search_query=AI+email+triage+tutorial+explained,,,,,
47,ai-automation,13,Conditional branching,conditional-branching,https://www.youtube.com/results?search_query=Conditional+branching+tutorial+explained,,,,,
48,ai-automation,15,Playwright — navigate and click,playwright-navigate-and-click,https://www.youtube.com/results?search_query=Playwright+%E2%80%94+navigate+and+click+tutorial+explained,,,,,
48,ai-automation,15,Fill forms automatically,fill-forms-automatically,https://www.youtube.com/results?search_query=Fill+forms+automatically+tutorial+explained,,,,,
49,ai-automation,16,Deploy to Railway,deploy-to-railway,https://www.youtube.com/results?search_query=Deploy+to+Railway+tutorial+explained,,,,,
51,ai-automation,18,What businesses will pay for,what-businesses-will-pay-for,https://www.youtube.com/results?search_query=What+businesses+will+pay+for+tutorial+explained,,,,,
51,ai-automation,18,Your automation portfolio,your-automation-portfolio,https://www.youtube.com/results?search_query=Your+automation+portfolio+tutorial+explained,,,,,
51,ai-automation,18,Upwork profile and first proposals,upwork-profile-and-first-proposals,https://www.youtube.com/results?search_query=Upwork+profile+and+first+proposals+tutorial+explained,,,,,
52,ai-automation,19,Choose your project,choose-your-project,https://www.youtube.com/results?search_query=Choose+your+project+tutorial+explained,,,,,
52,ai-automation,19,Build — day 1,build-day-1,https://www.youtube.com/results?search_query=Build+%E2%80%94+day+1+tutorial+explained,,,,,
52,ai-automation,19,Build — day 2,build-day-2,https://www.youtube.com/results?search_query=Build+%E2%80%94+day+2+tutorial+explained,,,,,
53,ai-automation,20,Write 3 case studies,write-3-case-studies,https://www.youtube.com/results?search_query=Write+3+case+studies+tutorial+explained,,,,,
58,data-engineering,6,Airflow DAGs,airflow-dags,https://www.youtube.com/results?search_query=Airflow+DAGs+tutorial+explained,,,,,
61,data-engineering,12,Understand the source API,understand-the-source-api,https://www.youtube.com/results?search_query=Understand+the+source+API+tutorial+explained,,,,,
62,data-engineering,13,Choose the file format,choose-the-file-format,https://www.youtube.com/results?search_query=Choose+the+file+format+tutorial+explained,,,,,
62,data-engineering,13,Design the partition scheme,design-the-partition-scheme,https://www.youtube.com/results?search_query=Design+the+partition+scheme+tutorial+explained,,,,,
63,data-engineering,14,Stage raw into the warehouse,stage-raw-into-the-warehouse,https://www.youtube.com/results?search_query=Stage+raw+into+the+warehouse+tutorial+explained,,,,,
64,data-engineering,15,Write staging models,write-staging-models,https://www.youtube.com/results?search_query=Write+staging+models+tutorial+explained,,,,,
65,data-engineering,16,Design the dimensional model,design-the-dimensional-model,https://www.youtube.com/results?search_query=Design+the+dimensional+model+tutorial+explained,,,,,
65,data-engineering,16,Build dimension models,build-dimension-models,https://www.youtube.com/results?search_query=Build+dimension+models+tutorial+explained,,,,,
66,data-engineering,17,Map the full DAG,map-the-full-dag,https://www.youtube.com/results?search_query=Map+the+full+DAG+tutorial+explained,,,,,
67,data-engineering,18,Identify the streaming use case,identify-the-streaming-use-case,https://www.youtube.com/results?search_query=Identify+the+streaming+use+case+tutorial+explained,,,,,
67,data-engineering,18,Set up the event source,set-up-the-event-source,https://www.youtube.com/results?search_query=Set+up+the+event+source+tutorial+explained,,,,,
70,data-engineering,21,Choose the serving approach,choose-the-serving-approach,https://www.youtube.com/results?search_query=Choose+the+serving+approach+tutorial+explained,,,,,
70,data-engineering,21,Connect the BI tool,connect-the-bi-tool,https://www.youtube.com/results?search_query=Connect+the+BI+tool+tutorial+explained,,,,,
72,data-engineering,24,Document the architecture,document-the-architecture,https://www.youtube.com/results?search_query=Document+the+architecture+tutorial+explained,,,,,
74,mobile-engineering,2,What we're adding,what-we-re-adding,https://www.youtube.com/results?search_query=What+we%27re+adding+tutorial+explained,,,,,
75,mobile-engineering,3,Plan the history view,plan-the-history-view,https://www.youtube.com/results?search_query=Plan+the+history+view+tutorial+explained,,,,,
75,mobile-engineering,3,Store history,store-history,https://www.youtube.com/results?search_query=Store+history+tutorial+explained,,,,,
75,mobile-engineering,3,Build the History screen,build-the-history-screen,https://www.youtube.com/results?search_query=Build+the+History+screen+tutorial+explained,,,,,
77,mobile-engineering,5,The form is where users quit,the-form-is-where-users-quit,https://www.youtube.com/results?search_query=The+form+is+where+users+quit+tutorial+explained,,,,,
78,mobile-engineering,6,Reanimated 3,reanimated-3,https://www.youtube.com/results?search_query=Reanimated+3+tutorial+explained,,,,,
78,mobile-engineering,6,Layout animations,layout-animations,https://www.youtube.com/results?search_query=Layout+animations+tutorial+explained,,,,,
79,mobile-engineering,7,Design tokens,design-tokens,https://www.youtube.com/results?search_query=Design+tokens+tutorial+explained,,,,,
79,mobile-engineering,7,useColorScheme,usecolorscheme,https://www.youtube.com/results?search_query=useColorScheme+tutorial+explained,,,,,
79,mobile-engineering,7,Custom fonts,custom-fonts,https://www.youtube.com/results?search_query=Custom+fonts+tutorial+explained,,,,,
80,mobile-engineering,8,AsyncStorage,asyncstorage,https://www.youtube.com/results?search_query=AsyncStorage+tutorial+explained,,,,,
80,mobile-engineering,8,SQLite via expo-sqlite,sqlite-via-expo-sqlite,https://www.youtube.com/results?search_query=SQLite+via+expo-sqlite+tutorial+explained,,,,,
81,mobile-engineering,9,Camera vs photo library,camera-vs-photo-library,https://www.youtube.com/results?search_query=Camera+vs+photo+library+tutorial+explained,,,,,
82,mobile-engineering,10,Location permissions,location-permissions,https://www.youtube.com/results?search_query=Location+permissions+tutorial+explained,,,,,
83,mobile-engineering,11,APNs (Apple Push Notification service),apns-apple-push-notification-service,https://www.youtube.com/results?search_query=APNs+%28Apple+Push+Notification+service%29+tutorial+explained,,,,,
84,mobile-engineering,13,Background sync,background-sync,https://www.youtube.com/results?search_query=Background+sync+tutorial+explained,,,,,
86,mobile-engineering,15,iOS background modes,ios-background-modes,https://www.youtube.com/results?search_query=iOS+background+modes+tutorial+explained,,,,,
89,mobile-engineering,18,Screen readers,screen-readers,https://www.youtube.com/results?search_query=Screen+readers+tutorial+explained,,,,,
89,mobile-engineering,18,Dynamic Type / Font Scale,dynamic-type-font-scale,https://www.youtube.com/results?search_query=Dynamic+Type+%2F+Font+Scale+tutorial+explained,,,,,
89,mobile-engineering,18,Touch target size,touch-target-size,https://www.youtube.com/results?search_query=Touch+target+size+tutorial+explained,,,,,
90,mobile-engineering,19,Plurals,plurals,https://www.youtube.com/results?search_query=Plurals+tutorial+explained,,,,,
91,mobile-engineering,20,Mocking native modules in tests,mocking-native-modules-in-tests,https://www.youtube.com/results?search_query=Mocking+native+modules+in+tests+tutorial+explained,,,,,
92,mobile-engineering,21,EAS Build,eas-build,https://www.youtube.com/results?search_query=EAS+Build+tutorial+explained,,,,,
92,mobile-engineering,21,Android signing,android-signing,https://www.youtube.com/results?search_query=Android+signing+tutorial+explained,,,,,
92,mobile-engineering,21,Splash screens,splash-screens,https://www.youtube.com/results?search_query=Splash+screens+tutorial+explained,,,,,
93,mobile-engineering,22,EAS Update,eas-update,https://www.youtube.com/results?search_query=EAS+Update+tutorial+explained,,,,,
93,mobile-engineering,22,What's safe to OTA,what-s-safe-to-ota,https://www.youtube.com/results?search_query=What%27s+safe+to+OTA+tutorial+explained,,,,,
94,mobile-engineering,23,Keyword research,keyword-research,https://www.youtube.com/results?search_query=Keyword+research+tutorial+explained,,,,,
94,mobile-engineering,23,Screenshots,screenshots,https://www.youtube.com/results?search_query=Screenshots+tutorial+explained,,,,,
94,mobile-engineering,23,Ratings and reviews,ratings-and-reviews,https://www.youtube.com/results?search_query=Ratings+and+reviews+tutorial+explained,,,,,
103,full-stack-web,11,Resource modelling,resource-modelling,https://www.youtube.com/results?search_query=Resource+modelling+tutorial+explained,,,,,
105,full-stack-web,13,Subscription lifecycle,subscription-lifecycle,https://www.youtube.com/results?search_query=Subscription+lifecycle+tutorial+explained,,,,,
106,full-stack-web,14,Deliverability,deliverability,https://www.youtube.com/results?search_query=Deliverability+tutorial+explained,,,,,
106,full-stack-web,14,Templates and personalisation,templates-and-personalisation,https://www.youtube.com/results?search_query=Templates+and+personalisation+tutorial+explained,,,,,
107,full-stack-web,15,Image optimisation,image-optimisation,https://www.youtube.com/results?search_query=Image+optimisation+tutorial+explained,,,,,
107,full-stack-web,15,Direct-to-S3 uploads with progress tracking,direct-to-s3-uploads-with-progress-tracking,https://www.youtube.com/results?search_query=Direct-to-S3+uploads+with+progress+tracking+tutorial+explained,,,,,
108,full-stack-web,16,Hosting real-time,hosting-real-time,https://www.youtube.com/results?search_query=Hosting+real-time+tutorial+explained,,,,,
112,full-stack-web,20,Pino,pino,https://www.youtube.com/results?search_query=Pino+tutorial+explained,,,,,
114,full-stack-web,22,Load testing,load-testing,https://www.youtube.com/results?search_query=Load+testing+tutorial+explained,,,,,
114,full-stack-web,22,Background jobs,background-jobs,https://www.youtube.com/results?search_query=Background+jobs+tutorial+explained,,,,,
115,full-stack-web,23,Empty states,empty-states,https://www.youtube.com/results?search_query=Empty+states+tutorial+explained,,,,,
115,full-stack-web,23,Error states,error-states,https://www.youtube.com/results?search_query=Error+states+tutorial+explained,,,,,
116,devops-cloud,2,Buy a domain,buy-a-domain,https://www.youtube.com/results?search_query=Buy+a+domain+tutorial+explained,,,,,
121,devops-cloud,7,Pin tags by digest,pin-tags-by-digest,https://www.youtube.com/results?search_query=Pin+tags+by+digest+tutorial+explained,,,,,
123,devops-cloud,10,"Liveness, readiness, and startup probes",liveness-readiness-and-startup-probes,https://www.youtube.com/results?search_query=Liveness%2C+readiness%2C+and+startup+probes+tutorial+explained,,,,,
123,devops-cloud,10,QoS classes,qos-classes,https://www.youtube.com/results?search_query=QoS+classes+tutorial+explained,,,,,
128,devops-cloud,15,Lock-in inventory,lock-in-inventory,https://www.youtube.com/results?search_query=Lock-in+inventory+tutorial+explained,,,,,
128,devops-cloud,15,Cloudflare Workers + Pages,cloudflare-workers-pages,https://www.youtube.com/results?search_query=Cloudflare+Workers+%2B+Pages+tutorial+explained,,,,,
132,devops-cloud,20,Blameless post-mortems,blameless-post-mortems,https://www.youtube.com/results?search_query=Blameless+post-mortems+tutorial+explained,,,,,
136,devops-cloud,24,Picking a scope,picking-a-scope,https://www.youtube.com/results?search_query=Picking+a+scope+tutorial+explained,,,,,
141,bi-analytics,5,"Filter context — felt, not memorised",filter-context-felt-not-memorised,https://www.youtube.com/results?search_query=Filter+context+%E2%80%94+felt%2C+not+memorised+tutorial+explained,,,,,
142,bi-analytics,6,Iterator functions,iterator-functions,https://www.youtube.com/results?search_query=Iterator+functions+tutorial+explained,,,,,
142,bi-analytics,6,Filter context vs row context,filter-context-vs-row-context,https://www.youtube.com/results?search_query=Filter+context+vs+row+context+tutorial+explained,,,,,
144,bi-analytics,8,Dimensional modelling,dimensional-modelling,https://www.youtube.com/results?search_query=Dimensional+modelling+tutorial+explained,,,,,
145,bi-analytics,9,Descriptive statistics,descriptive-statistics,https://www.youtube.com/results?search_query=Descriptive+statistics+tutorial+explained,,,,,
145,bi-analytics,9,Distributions,distributions,https://www.youtube.com/results?search_query=Distributions+tutorial+explained,,,,,
145,bi-analytics,9,Correlation and causation,correlation-and-causation,https://www.youtube.com/results?search_query=Correlation+and+causation+tutorial+explained,,,,,
146,bi-analytics,10,t-test,t-test,https://www.youtube.com/results?search_query=t-test+tutorial+explained,,,,,
151,bi-analytics,15,BI portfolio requirements,bi-portfolio-requirements,https://www.youtube.com/results?search_query=BI+portfolio+requirements+tutorial+explained,,,,,
151,bi-analytics,15,LinkedIn optimisation for BI roles,linkedin-optimisation-for-bi-roles,https://www.youtube.com/results?search_query=LinkedIn+optimisation+for+BI+roles+tutorial+explained,,,,,
152,ml-engineering,3,Install Optuna,install-optuna,https://www.youtube.com/results?search_query=Install+Optuna+tutorial+explained,,,,,
157,ml-engineering,12,DDPM and DDIM,ddpm-and-ddim,https://www.youtube.com/results?search_query=DDPM+and+DDIM+tutorial+explained,,,,,
158,ml-engineering,13,What to track,what-to-track,https://www.youtube.com/results?search_query=What+to+track+tutorial+explained,,,,,
158,ml-engineering,13,Determinism and seeding,determinism-and-seeding,https://www.youtube.com/results?search_query=Determinism+and+seeding+tutorial+explained,,,,,
159,ml-engineering,14,GPU memory hierarchy,gpu-memory-hierarchy,https://www.youtube.com/results?search_query=GPU+memory+hierarchy+tutorial+explained,,,,,
159,ml-engineering,14,DataParallel vs DistributedDataParallel,dataparallel-vs-distributeddataparallel,https://www.youtube.com/results?search_query=DataParallel+vs+DistributedDataParallel+tutorial+explained,,,,,
161,ml-engineering,18,What can go wrong in production,what-can-go-wrong-in-production,https://www.youtube.com/results?search_query=What+can+go+wrong+in+production+tutorial+explained,,,,,
161,ml-engineering,18,Concept drift,concept-drift,https://www.youtube.com/results?search_query=Concept+drift+tutorial+explained,,,,,
162,ml-engineering,19,Why offline metrics aren't enough,why-offline-metrics-aren-t-enough,https://www.youtube.com/results?search_query=Why+offline+metrics+aren%27t+enough+tutorial+explained,,,,,
162,ml-engineering,19,Two-sample tests,two-sample-tests,https://www.youtube.com/results?search_query=Two-sample+tests+tutorial+explained,,,,,
163,ml-engineering,20,Collaborative filtering,collaborative-filtering,https://www.youtube.com/results?search_query=Collaborative+filtering+tutorial+explained,,,,,
166,ml-engineering,23,SHAP,shap,https://www.youtube.com/results?search_query=SHAP+tutorial+explained,,,,,
169,data-analysis,3,Form a testable hypothesis,form-a-testable-hypothesis,https://www.youtube.com/results?search_query=Form+a+testable+hypothesis+tutorial+explained,,,,,
169,data-analysis,3,Scatter plot: Discount vs Profit,scatter-plot-discount-vs-profit,https://www.youtube.com/results?search_query=Scatter+plot%3A+Discount+vs+Profit+tutorial+explained,,,,,
170,data-analysis,4,What customer lifetime value is,what-customer-lifetime-value-is,https://www.youtube.com/results?search_query=What+customer+lifetime+value+is+tutorial+explained,,,,,
170,data-analysis,4,Compute CLV per customer,compute-clv-per-customer,https://www.youtube.com/results?search_query=Compute+CLV+per+customer+tutorial+explained,,,,,
170,data-analysis,4,Segment customers by value,segment-customers-by-value,https://www.youtube.com/results?search_query=Segment+customers+by+value+tutorial+explained,,,,,
171,data-analysis,5,SELECT — read columns from a table,select-read-columns-from-a-table,https://www.youtube.com/results?search_query=SELECT+%E2%80%94+read+columns+from+a+table+tutorial+explained,,,,,
172,data-analysis,6,Samples and selection bias,samples-and-selection-bias,https://www.youtube.com/results?search_query=Samples+and+selection+bias+tutorial+explained,,,,,
172,data-analysis,6,Correlation,correlation,https://www.youtube.com/results?search_query=Correlation+tutorial+explained,,,,,
174,data-analysis,8,"The deck is an argument, not a dump",the-deck-is-an-argument-not-a-dump,https://www.youtube.com/results?search_query=The+deck+is+an+argument%2C+not+a+dump+tutorial+explained,,,,,
174,data-analysis,8,Slide 1 — the headline (BLUF),slide-1-the-headline-bluf,https://www.youtube.com/results?search_query=Slide+1+%E2%80%94+the+headline+%28BLUF%29+tutorial+explained,,,,,
174,data-analysis,8,Slides 2-4 — one finding per slide,slides-2-4-one-finding-per-slide,https://www.youtube.com/results?search_query=Slides+2-4+%E2%80%94+one+finding+per+slide+tutorial+explained,,,,,
175,data-analysis,9,Find the rough edges,find-the-rough-edges,https://www.youtube.com/results?search_query=Find+the+rough+edges+tutorial+explained,,,,,
175,data-analysis,9,Fix the rough edges,fix-the-rough-edges,https://www.youtube.com/results?search_query=Fix+the+rough+edges+tutorial+explained,,,,,
175,data-analysis,9,Reformat the memo as a polished doc,reformat-the-memo-as-a-polished-doc,https://www.youtube.com/results?search_query=Reformat+the+memo+as+a+polished+doc+tutorial+explained,,,,,
176,data-analysis,10,Why people analytics,why-people-analytics,https://www.youtube.com/results?search_query=Why+people+analytics+tutorial+explained,,,,,
176,data-analysis,10,Load and inspect,load-and-inspect,https://www.youtube.com/results?search_query=Load+and+inspect+tutorial+explained,,,,,
176,data-analysis,10,Attrition by department,attrition-by-department,https://www.youtube.com/results?search_query=Attrition+by+department+tutorial+explained,,,,,
178,data-analysis,12,Build the dashboard,build-the-dashboard,https://www.youtube.com/results?search_query=Build+the+dashboard+tutorial+explained,,,,,
178,data-analysis,12,Make it interactive (filters),make-it-interactive-filters,https://www.youtube.com/results?search_query=Make+it+interactive+%28filters%29+tutorial+explained,,,,,
179,data-analysis,13,List the rough edges,list-the-rough-edges,https://www.youtube.com/results?search_query=List+the+rough+edges+tutorial+explained,,,,,
179,data-analysis,13,Fix them,fix-them,https://www.youtube.com/results?search_query=Fix+them+tutorial+explained,,,,,
181,data-analysis,15,What is a funnel?,what-is-a-funnel,https://www.youtube.com/results?search_query=What+is+a+funnel%3F+tutorial+explained,,,,,
181,data-analysis,15,Get the Olist data,get-the-olist-data,https://www.youtube.com/results?search_query=Get+the+Olist+data+tutorial+explained,,,,,
182,data-analysis,16,What's a cohort?,what-s-a-cohort,https://www.youtube.com/results?search_query=What%27s+a+cohort%3F+tutorial+explained,,,,,
182,data-analysis,16,First-purchase month per customer,first-purchase-month-per-customer,https://www.youtube.com/results?search_query=First-purchase+month+per+customer+tutorial+explained,,,,,
183,data-analysis,17,What an A/B test really is,what-an-a-b-test-really-is,https://www.youtube.com/results?search_query=What+an+A%2FB+test+really+is+tutorial+explained,,,,,
183,data-analysis,17,Simulate the two groups,simulate-the-two-groups,https://www.youtube.com/results?search_query=Simulate+the+two+groups+tutorial+explained,,,,,
183,data-analysis,17,Compute the lift,compute-the-lift,https://www.youtube.com/results?search_query=Compute+the+lift+tutorial+explained,,,,,
184,data-analysis,18,Dashboard layout,dashboard-layout,https://www.youtube.com/results?search_query=Dashboard+layout+tutorial+explained,,,,,
184,data-analysis,18,The funnel chart,the-funnel-chart,https://www.youtube.com/results?search_query=The+funnel+chart+tutorial+explained,,,,,
185,data-analysis,19,List the rough edges,list-the-rough-edges,https://www.youtube.com/results?search_query=List+the+rough+edges+tutorial+explained,,,,,
188,data-analysis,23,Trend chart,trend-chart,https://www.youtube.com/results?search_query=Trend+chart+tutorial+explained,,,,,
189,data-analysis,24,Page 4 — Operations,page-4-operations,https://www.youtube.com/results?search_query=Page+4+%E2%80%94+Operations+tutorial+explained,,,,,
190,data-analysis,25,Why storytelling beats analysis,why-storytelling-beats-analysis,https://www.youtube.com/results?search_query=Why+storytelling+beats+analysis+tutorial+explained,,,,,
190,data-analysis,25,Distil it to ONE sentence,distil-it-to-one-sentence,https://www.youtube.com/results?search_query=Distil+it+to+ONE+sentence+tutorial+explained,,,,,
190,data-analysis,25,Slide as visual hierarchy,slide-as-visual-hierarchy,https://www.youtube.com/results?search_query=Slide+as+visual+hierarchy+tutorial+explained,,,,,
191,data-analysis,27,Audit what you have,audit-what-you-have,https://www.youtube.com/results?search_query=Audit+what+you+have+tutorial+explained,,,,,
193,data-science,3,GroupBy on multiple columns,groupby-on-multiple-columns,https://www.youtube.com/results?search_query=GroupBy+on+multiple+columns+tutorial+explained,,,,,
196,data-science,6,T-test between two groups,t-test-between-two-groups,https://www.youtube.com/results?search_query=T-test+between+two+groups+tutorial+explained,,,,,
197,data-science,7,Save the model,save-the-model,https://www.youtube.com/results?search_query=Save+the+model+tutorial+explained,,,,,
198,data-science,8,Ethics + robots.txt,ethics-robots-txt,https://www.youtube.com/results?search_query=Ethics+%2B+robots.txt+tutorial+explained,,,,,
199,data-science,9,Set up Streamlit,set-up-streamlit,https://www.youtube.com/results?search_query=Set+up+Streamlit+tutorial+explained,,,,,
200,data-science,10,What 'polish' means,what-polish-means,https://www.youtube.com/results?search_query=What+%27polish%27+means+tutorial+explained,,,,,
200,data-science,10,Fix the top issues,fix-the-top-issues,https://www.youtube.com/results?search_query=Fix+the+top+issues+tutorial+explained,,,,,
203,data-science,13,Why hand-label,why-hand-label,https://www.youtube.com/results?search_query=Why+hand-label+tutorial+explained,,,,,
204,data-science,14,What an A/B test really is,what-an-a-b-test-really-is,https://www.youtube.com/results?search_query=What+an+A%2FB+test+really+is+tutorial+explained,,,,,
206,data-science,16,Why interpretability matters,why-interpretability-matters,https://www.youtube.com/results?search_query=Why+interpretability+matters+tutorial+explained,,,,,
210,data-science,20,What's left to ship,what-s-left-to-ship,https://www.youtube.com/results?search_query=What%27s+left+to+ship+tutorial+explained,,,,,
210,data-science,20,Fix the rough edges,fix-the-rough-edges,https://www.youtube.com/results?search_query=Fix+the+rough+edges+tutorial+explained,,,,,
211,data-science,21,Get the dataset + set up,get-the-dataset-set-up,https://www.youtube.com/results?search_query=Get+the+dataset+%2B+set+up+tutorial+explained,,,,,
212,data-science,22,Stationarity check — ADF test,stationarity-check-adf-test,https://www.youtube.com/results?search_query=Stationarity+check+%E2%80%94+ADF+test+tutorial+explained,,,,,
212,data-science,22,Fit auto-ARIMA,fit-auto-arima,https://www.youtube.com/results?search_query=Fit+auto-ARIMA+tutorial+explained,,,,,
213,data-science,23,What Prophet is,what-prophet-is,https://www.youtube.com/results?search_query=What+Prophet+is+tutorial+explained,,,,,
213,data-science,23,Install + format data,install-format-data,https://www.youtube.com/results?search_query=Install+%2B+format+data+tutorial+explained,,,,,
213,data-science,23,Fit Prophet,fit-prophet,https://www.youtube.com/results?search_query=Fit+Prophet+tutorial+explained,,,,,
217,data-science,27,Pick the winner,pick-the-winner,https://www.youtube.com/results?search_query=Pick+the+winner+tutorial+explained,,,,,
219,data-science,29,Clean — and document every decision,clean-and-document-every-decision,https://www.youtube.com/results?search_query=Clean+%E2%80%94+and+document+every+decision+tutorial+explained,,,,,
221,data-science,31,Audit what you have,audit-what-you-have,https://www.youtube.com/results?search_query=Audit+what+you+have+tutorial+explained,,,,,
221,data-science,31,Buy a domain,buy-a-domain,https://www.youtube.com/results?search_query=Buy+a+domain+tutorial+explained,,,,,
224,data-science,35,Mindset shift,mindset-shift,https://www.youtube.com/results?search_query=Mindset+shift+tutorial+explained,,,,,
224,data-science,35,DAGs,dags,https://www.youtube.com/results?search_query=DAGs+tutorial+explained,,,,,
224,data-science,35,Propensity Score Matching,propensity-score-matching,https://www.youtube.com/results?search_query=Propensity+Score+Matching+tutorial+explained,,,,,
225,data-science,36,Concepts,concepts,https://www.youtube.com/results?search_query=Concepts+tutorial+explained,,,,,
225,data-science,36,Pick model + sensitive attribute,pick-model-sensitive-attribute,https://www.youtube.com/results?search_query=Pick+model+%2B+sensitive+attribute+tutorial+explained,,,,,
228,data-science,40,Exploration strategies,exploration-strategies,https://www.youtube.com/results?search_query=Exploration+strategies+tutorial+explained,,,,,
230,data-science,43,Differential privacy intuition,differential-privacy-intuition,https://www.youtube.com/results?search_query=Differential+privacy+intuition+tutorial+explained,,,,,
